participant_ID,gender,age,weight,length,skill_performance,skill_effort,velocity,pull_ID,initial_search,pull_direction,outcome,pull_force,angular_momentum,reaction_time,phi_zero,phi_dot_zero,delta_zero,delta_dot_zero,psi_zero,Q_zero,comments,exclude
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,8,FALSE,CW,0,60,1.380581e+01,1.172396e-13,-8.317655e-01,-1.247979e-01,2.691053e-02,8.553541e-01,1.436054e-02,-3.085064e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,9,FALSE,CW,1,100,2.177594e+01,2.150000e-02,-1.712553e+00,-3.333489e-01,7.369460e-02,9.538619e-01,4.863153e-02,1.066394e+02,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,10,FALSE,CCW,1,80,1.765791e+01,9.308110e-13,-1.590211e+00,-1.753585e-01,2.662165e-02,1.173815e-01,3.077728e-02,9.223975e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,11,FALSE,CW,1,90,1.976165e+01,5.000000e-04,-3.055216e-01,-1.332673e-01,2.791967e-02,7.855448e-02,1.954192e-02,7.240601e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,12,FALSE,CW,0,60,1.404127e+01,4.900000e-02,-3.873964e-01,-1.022066e-01,1.454041e-02,5.759403e-02,1.962066e-02,3.593397e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,13,FALSE,CW,1,80,1.781295e+01,1.400000e-02,-2.293759e+00,-1.121230e-01,-2.285263e-02,-7.253305e-02,2.126953e-02,1.003530e+02,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,14,FALSE,CW,1,80,1.753142e+01,4.800000e-02,-4.173885e-01,-8.591431e-02,6.079583e-03,1.782987e-01,1.288247e-02,-1.272094e+00,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,15,FALSE,CCW,0,40,9.248110e+00,1.051159e-12,-9.563217e-01,-7.653553e-02,2.213423e-02,-3.626144e-01,-2.190050e-02,6.483958e-01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,16,FALSE,CCW,1,80,1.781442e+01,1.850000e-02,-1.310517e+00,-1.287658e-01,-5.036320e-03,-8.899466e-01,2.683035e-02,1.001321e+02,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,17,FALSE,CCW,0,50,1.161615e+01,1.106670e-12,-1.178983e+00,-1.405901e-01,-2.066674e-02,-7.821836e-02,1.963736e-02,9.982407e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,18,FALSE,CW,0,70,1.566268e+01,5.750000e-02,-4.475033e-01,-1.047021e-01,2.347174e-02,1.210587e-01,1.540235e-03,4.017659e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,19,FALSE,CW,1,60,1.330231e+01,5.300000e-02,-1.699007e+00,-1.221704e-01,2.739083e-02,1.050989e-02,-9.512301e-03,7.580522e+01,NA,NO
2,male,30,89,1.870000e+00,7.711328e+01,2.361822e+00,12,20,FALSE,CW,0,60,1.393906e+01,1.250000e-02,-3.304258e-01,-1.295903e-01,2.181604e-02,2.990991e-02,9.849688e-03,2.995208e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,NA,TRUE,CW,0,20,4.035687e+00,2.100000e-02,-1.488711e+00,-5.048257e-02,-4.864128e-02,3.187212e-01,-5.321605e-03,-1.749524e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,NA,TRUE,CW,0,50,1.132438e+01,3.000000e-02,-1.493995e+00,-1.018537e-01,4.030252e-02,9.335369e-01,-2.933327e-02,-1.008870e+02,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,NA,TRUE,CCW,0,80,1.828538e+01,2.096101e-12,-2.543980e+00,-9.704653e-02,-2.138484e-02,-8.683107e-01,3.657985e-02,3.356863e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,NA,TRUE,CCW,1,110,2.399137e+01,5.000000e-04,-2.998313e+00,-5.168271e-02,-1.119689e-01,-1.024846e+00,-3.844886e-03,1.671980e+02,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,21,FALSE,CW,0,90,1.944402e+01,2.300000e-02,-1.625824e-01,-1.207199e-01,6.490994e-02,1.244552e+00,8.472947e-03,-2.480987e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,22,FALSE,CW,1,100,2.094130e+01,2.850000e-02,-1.319757e+00,-2.302158e-01,3.117409e-02,2.983746e-01,7.077001e-02,1.347103e+02,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,23,FALSE,CW,1,110,2.326300e+01,5.641709e-12,-8.631118e-01,-1.357348e-01,9.997813e-02,5.287286e-01,1.853273e-04,1.672556e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,24,FALSE,CCW,1,110,2.247570e+01,1.700000e-02,-1.048118e+00,-1.470578e-01,-1.919482e-02,-2.180863e-01,4.510855e-03,5.195018e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,25,FALSE,CCW,0,60,1.250445e+01,4.250000e-02,-4.434086e-01,-5.099639e-02,3.886865e-02,4.074671e-01,4.101597e-03,7.573591e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,26,FALSE,CW,1,100,2.081543e+01,3.850000e-02,-1.288375e+00,-1.489824e-01,-1.737611e-02,1.504384e-01,-1.226404e-03,-2.499512e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,27,FALSE,CCW,0,70,1.565753e+01,2.850000e-02,-1.109484e+00,-7.018407e-02,1.856366e-02,5.895725e-02,-2.781230e-02,1.098040e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,28,FALSE,CW,0,70,1.520213e+01,3.250000e-02,-8.335500e-01,-8.714262e-02,-2.247028e-03,6.438589e-01,-1.669042e-02,-3.102488e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,29,FALSE,CW,1,110,2.280989e+01,3.200000e-02,-4.455498e-01,-1.397656e-01,5.213143e-02,2.683130e-01,2.033901e-02,-2.589503e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,30,FALSE,CW,0,80,1.778391e+01,1.200000e-02,-1.738715e+00,-1.731218e-01,3.495231e-02,6.459402e-01,1.230151e-02,3.253415e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,31,FALSE,CCW,1,100,2.191143e+01,2.900000e-02,-2.294656e+00,2.860169e-03,-8.636138e-02,-9.157064e-01,2.415564e-03,2.958185e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,32,FALSE,CCW,0,80,1.730241e+01,5.500000e-02,-1.308032e+00,-1.230689e-01,3.059298e-02,8.047720e-02,-7.176529e-03,3.325595e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,33,FALSE,CCW,1,110,2.286888e+01,5.550000e-02,-1.388504e+00,-8.378238e-02,9.329867e-03,1.069001e-01,-1.946036e-02,1.974556e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,34,FALSE,CCW,0,80,1.776758e+01,5.150000e-02,-8.391088e-01,-1.353197e-01,3.075002e-02,9.629065e-02,2.149074e-02,3.306722e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,35,FALSE,CCW,1,110,2.324158e+01,1.150000e-02,-8.242364e-01,-1.169904e-01,-7.075008e-03,-7.608536e-02,2.754617e-02,-8.062523e+00,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,36,FALSE,CW,0,70,1.618681e+01,5.000000e-04,-5.493048e-01,-1.013776e-01,1.362227e-02,1.780527e-01,1.627286e-02,5.829900e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,37,FALSE,CCW,1,120,2.445387e+01,5.500000e-02,-9.086128e-01,-1.221412e-01,3.667293e-02,6.520849e-02,5.407976e-03,3.917869e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,38,FALSE,CCW,1,110,2.387756e+01,1.282530e-12,-1.265535e+00,-7.671381e-02,-1.761920e-02,-2.039887e-01,-3.091699e-02,1.449321e+01,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,39,FALSE,CCW,0,60,1.335772e+01,1.100000e-02,-1.757091e+00,-9.653239e-02,-2.456459e-02,-2.283785e-01,-5.868441e-03,1.097638e+02,NA,NO
2,male,30,89,1.870000e+00,5.580703e+01,6.417208e+00,6,40,FALSE,CW,1,110,2.297841e+01,2.200000e-02,-1.112004e+00,-1.913367e-01,6.127083e-02,7.879094e-01,1.147535e-02,9.334146e+01,NA,NO
2,male,30,89,1.870000e+00,6.168028e+01,6.578247e+00,18,NA,TRUE,CCW,0,20,4.057074e+00,3.250000e-02,-2.420855e-01,-1.367025e-01,1.585918e-02,3.508840e-02,-1.819640e-03,-4.140667e+01,NA,NO
2,male,30,89,1.870000e+00,6.168028e+01,6.578247e+00,18,NA,TRUE,CCW,0,50,1.168827e+01,3.300000e-02,6.728294e-02,-6.935907e-02,5.297869e-03,4.812024e-02,-1.363948e-02,-5.352783e+01,NA,NO
2,male,30,89,1.870000e+00,6.168028e+01,6.578247e+00,18,NA,TRUE,CW,1,80,1.765652e+01,4.450000e-02,-2.254095e+00,-1.796701e-01,4.543121e-03,-1.806987e-02,6.084057e-03,8.433846e+01,NA,NO
2,male,30,89,1.870000e+00,6.168028e+01,6.578247e+00,18,41,FALSE,CCW,1,60,1.359673e+01,8.000000e-03,-1.517609e+00,-6.568715e-02,4.475050e-03,-5.288467e-01,-3.031295e-03,3.587708e+01,NA,NO
2,male,30,89,1.870000e+00,6.168028e+01,6.578247e+00,18,42,FALSE,CCW,1,60,1.411113e+01,5.000000e-04,-2.056664e+00,9.146422e-03,-2.786920e-02,-4.962050e-01,-2.081009e-02,8.263133e+00,NA,NO
2,male,30,89,1.870000e+00,6.168028e+01,6.578247e+00,18,43,FALSE,CW,1,70,1.590940e+01,2.300000e-02,-2.387029e+00,-6.602630e-02,3.015915e-02,1.377889e-01,-7.480446e-03,4.588500e+01,NA,NO
2,male,30,89,1.870000e+00,6.168028e+01,6.578247e+00,18,44,FALSE,CW,0,50,1.151112e+01,4.950000e-02,-2.258032e+00,-1.119779e-01,1.184616e-02,-1.796743e-02,1.082389e-02,4.124006e+01,NA,NO
2,male,30,89,1.870000e+00,6.168028e+01,6.578247e+00,18,45,FALSE,CCW,1,70,1.596182e+01,5.450000e-02,-2.655376e+00,-8.411982e-02,-1.243135e-02,-1.404222e-01,1.005520e-02,5.056217e+01,NA,NO
2,male,30,89,1.870000e+00,6.168028e+01,6.578247e+00,18,46,FALSE,CW,0,50,1.173836e+01,5.600000e-02,-1.523397e+00,-5.255765e-02,-8.439932e-03,-2.886173e-03,-4.509572e-03,4.822382e+01,NA,NO
